locus,title,description,function
 new_2456809_2456888_c, S893, new RNA feature, new_2456809_2456888_c
 BSU_02380, ybgB, putative immunity protein, unknown
 BSU_07330, yfnB, putative [wiki|HAD superfamily] phosphatase, unknown
 new_2432916_2433315_c, S884, new RNA feature,
 new_2432916_2433315_c, , ,
 BSU_09660, yheN, putative polysaccharide deacetylase, unknown
 BSU_14650, yktB, unknown, unknown
 BSU_04980, yddI, unknown, unknown
 BSU_06770, yeeB, putative ATP-dependent helicase, unknown
 BSU_25490, hrcA, transcriptional repressor of class I heat-shock genes, regulation of chaperone gene expression
 BSU_04660, ndoA, RNase EndoA, UACAU-specific mRNA interferase
 BSU_16320, fliY, flagellar C ring protein, BSU_16320
 BSU_32450, pucL, uricase, BSU_32450
 BSU_06150, gutB, D-sorbitol dehydrogenase, glucitol utilization
 BSU_26470, yrkL, similar to NAD(P)H oxidoreductase, unknown
 BSU_34990, lgt, prolipoprotein diacylglyceryl transferase, lipomodification of lipoproteins
 BSU_07810, treA, phospho-alpha-glucosidase, trehalose utilization
 BSU_14960, ylbC, unknown, unknown
 BSU_32330, lipA, lipoyl synthase, BSU_32330
 BSU_08090, acoL, acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase), acetoin utilization
 BSU_16330, cheY, two-component response regulator, CheY-phosphate induces a switch from clockwise to counter-clockwise rotation
 new_3996731_3996828, S1497, new RNA feature, new_3996731_3996828
 BSU_01380, map, methionine aminopeptidase, removal of N-terminal methionine from nascent proteins
 BSU_14600, pdhC, pyruvate dehydrogenase (dihydrolipoamide acetyltransferase E2 subunit), links glycolysis and TCA cycle
 BSU_24120, mmgF, methylisocitrate lyase, mother cell metabolism
 BSU_12270, yjlB, unknown, unknown
 BSU_27500, trmU, tRNA (5-methylaminomethyl-2-thiouridylate) methyltransferase, glutamine and lysine tRNA molecules
 BSU_14430, ykpA, [wiki|ABC transporter] (ATP-binding protein), unknown
 BSU_10550, ntdA, pyridoxal phosphate-dependent 3-oxo-glucose-6-phosphate:glutamate aminotransferase, synthesis of the antibiotic kanosamine
 BSU_09600, fluC, flouride exporter (together with [[protein|BD1C4D9E6E8960DF77EE1571A637929C2D8C4A28]]), export of flouride
 BSU_36190, ywqJ, LXG toxin, unknown
 new_1744182_1744236, S597, new RNA feature, new_1744182_1744236
 BSU_04990, yddJ, ICEBs1 exclusion factor, BSU_04990
 new_1289139_1289257, S446, new RNA feature,
 new_1289139_1289257, , ,
 BSU_38540, dltE, D-alanine transfer from undecaprenol-phosphate to the poly(glycerophosphate) chain, BSU_38540
 BSU_13070, bstF, bacillithiol S-transferase, unknown
 BSU_12619, ykzL, unknown PBSX prophage protein, unknown
 BSU_23510, xerD, site-specific integrase/recombinase, terminus-specific unloader of translocating SMC complexes
 new_257545_257726, S90, new RNA feature, new_257545_257726
 BSU_11430, oppA, oligopeptide [wiki|ABC transporter] (binding protein), initiation of [wiki|sporulation]
 BSU_23650, yqkC, unknown, unknown
 BSU_05940, tsaD, required for threonyl carbamoyl adenosine (t6A) modification of tRNAs that pair with ANN codons in mRNA (together with TsaC), BSU_05940
 new_3823159_3823531_c, S1447, new RNA feature, new_3823159_3823531_c
 BSU_24450, efp, elongation factor P, BSU_24450
 BSU_38620, aag, hypoxanthine-DNA glycosylase, required for protection against paraquat stress
 BSU_19630, deoD, purine nucleoside phosphorylase, purine salvage and interconversion
 BSU_14700, nprE, extracellular neutral protease B, degradation of proteins
 BSU_26960, yraF, forespore-specific sporulation protein, BSU_26960
 BSU_20810, yopP, unknown, unknown
 BSU_25470, dnaK, class I heat-shock protein (molecular chaperone), protein quality control
 BSU_40010, yxaD, similar to transcriptional regulator ([wiki|MarR family]), unknown
 BSU_06350, yebA, unknown, unknown
 BSU_28330, ysnE, similar to acetyltransferase, unknown
 BSU_20100, yosJ, unknown, unknown
 new_3346117_3347050_c, S1254, new RNA feature,
 new_3346117_3347050_c, , ,
 new_1921866_1922524_c, S661, new RNA feature,
 new_1921866_1922524_c, , ,
 BSU_28540, fadB, 3-hydroxyacyl-CoA dehydratase, fatty acid degradation
 new_4053373_4053453_c, S1519, new RNA feature,
 new_4053373_4053453_c, , ,
 BSU_04070, ycsI, unknown, unknown
 BSU_38860, galE, UDP glucose 4-epimerase, galactose utilization
 BSU_27250, mccB, cystathionine lyase/  homocysteine gamma-lyase, methionine-to-cysteine conversion
 BSU_29840, ytpP, similar to thioredoxin H1, unknown
 BSU_20570, yoqN, unknown, unknown
 BSU_04190, ydaD, general stress protein, BSU_04190
 BSU_32440, pucK, uric acid permease, purine utilization
 BSU_15380, ylmE, pyridoxal phosphate-binding protein, BSU_15380
 BSU_25770, spoIVCA, site-specific DNA recombinase required for creating the sigK gene (excision of the skin element), excision of the skin element
 BSU_30440, ytrC, [wiki|ABC transporter] (hydrophobic protein, BSU_30440
 BSU_12650, xkdK, PBSX prophage, unknown
 BSU_00290, darA, c-di-AMP-binding PII-like protein, unknown
 BSU_23402, spoVAEB, spore germinant protein,6-dicarboxylic acid (DPA(2
 BSU_22869, ypzI, unknown, unknown
 new_1943983_1944112_c, S676, new RNA feature,
 new_1943983_1944112_c, , ,
 BSU_06074, ydzW/2, putative phosphomannomutase, BSU_06074
 BSU_16299, swrD, swarming protein, BSU_16299
 BSU_09420, lytE, cell wall hydrolase (major autolysin) for cell elongation and separation,L-endopeptidase-type autolysin
 BSU_07080, yesZ, beta-galactosidase, BSU_07080
 BSU_06280, ydjP, similar to chloroperoxydase, unknown
 new_3261938_3262008_c, S1219, new RNA feature,
 new_3261938_3262008_c, , ,
 BSU_18899, yozX, unknown, unknown
 new_2340762_2341218_c, S845, new RNA feature, new_2340762_2341218_c
 new_2377495_2377626_c, S857, new RNA feature,
 new_2377495_2377626_c, , ,
 BSU_11360, appD, oligopeptide [wiki|ABC transporter ](ATP-binding protein), uptake of oligopeptides
 BSU_tRNA_2, trnY-Asp, null, translation
 BSU_18400, yoeD, unknown, unknown
 BSU_05680, ydgK, similar to bicyclomycin resistance protein, unknown
 BSU_36550, spoIIQ, component of the [[protein|00BDD4E3370DB3A9F4D75FE265A2A8DF05185CCC]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane, required for localization and stability of [[protein|7C8DFE00A2B2B30CC8BEB35055D92CC2E4128F3A]]
 new_2866605_2866663_c, S1060, new RNA feature,
 new_2866605_2866663_c, , ,
 BSU_08310, lnrL, similar to [wiki|ABC transporter] (ATP-binding protein), BSU_08310
 new_2574324_2574407_c, S934, new RNA feature,
 new_2574324_2574407_c, , ,
 new_3847279_3847347, S1451, new RNA feature,
 new_3847279_3847347, , ,
 BSU_36780, ywzB, unknown, unknown
 BSU_13550, mtnA, 5-methylthioribose-1-phosphate isomerase, methionine salvage
 new_2212521_2213082_c, S788, new RNA feature,
 new_2212521_2213082_c, , ,
 BSU_misc_RNA_84, bsrI, , 
 BSU_14820, ylaL, unknown, unknown
 BSU_11040, yitM, [wiki|biofilm] toxin, protection of <i>B. subtilis</i> biofilms against competitors
 new_2778574_2778790_c, S1024, new RNA feature, new_2778574_2778790_c
 BSU_11520, mecA, buffering protein for development, biofilm exopolysaccharide and competence expression 
 BSU_19280, yocN, similar to permease, unknown
 new_3666508_3667599, S1363, new RNA feature, new_3666508_3667599
 BSU_28140, hemD, uroporphyrinogen-III synthase, heme biosynthesis
 BSU_tRNA_17, trnJ-Leu2, null, translation
 BSU_11320, yjzB, spore coat protein, protection of the spore
 new_2518877_2519029_c, S914, new RNA feature, new_2518877_2519029_c
 BSU_04960, conG, part of the ICEBs1 conjugation machinery, BSU_04960
 BSU_35800, gerBA, nutrient receptor, fructose
 BSU_25260, glyS, glycyl-tRNA synthetase (beta subunit), translation
 BSU_13610, mtnB, methylthioribulose-1-phosphate dehydratase, methionine salvage
 BSU_14569, ykzV, unknown, unknown
 BSU_24460, papA, Xaa-Pro amino-peptidase, degradation of proline-containing peptides
 new_1569427_1569518, S549, new RNA feature, new_1569427_1569518
 new_3790498_3790582_c, S1428, new RNA feature,
 new_3790498_3790582_c, , ,
 BSU_34460, levB, endolevanase, levan degradation
 BSU_40690, yybC, unknown, unknown
 BSU_22520, ypjB, unknown, unknown
 new_9529_9614, S7, new RNA feature, new_9529_9614
 BSU_25289, yqzL, unknown, unknown
 BSU_25875, BSU_25875, , 
 BSU_07320, yfnC, similar to fosmidmycin resistance protein, unknown
 BSU_rRNA_12, rrnE-23S, 23S rRNA, translation
 BSU_22480, mgsA, methylglyoxal synthase, bypass of glycolysis
 BSU_00300, yaaR, unknown, unknown
 BSU_26600, bltD, spermidine/ spermine acetyltransferase, spermidine degradation
 BSU_21040, yonO, SP beta DNA-dependent RNA polymerase, transcription of late SP beta genes
 new_3906104_3907171, S1466, new RNA feature, new_3906104_3907171
 BSU_04840, devI, modulator of developmental processes: inhibition of biofilm formation and sporulation by ICEBs1-containing cells, manipulation of host developmental programs
 BSU_22900, ypfB, unknown, unknown
 BSU_09340, yhdA, NADPH-dependent FMN oxidoreductase, protection against oxidative stress
 new_2730921_2731106_c, S1002, new RNA feature, new_2730921_2731106_c
 BSU_misc_RNA_28, BSU_misc_RNA_28, null, null
 BSU_16480, swrB, control of [[protein|7024E4162A6D827069F882FDEACA696EBC05DD40]] activity, activates the flagellar type III secretion export apparatus by the membrane protein [[protein|6ED6C3DDC4F3142FD01D32840D955B7E4A19F385]]
 BSU_13280, ykoJ, unknown, unknown
 BSU_02560, ycbM, two-component sensor kinase, unknown
 BSU_02520, ycbJ, similar to macrolide 2-phosphotransferase, unknown
 BSU_13830, ykvU, spore cortex  membrane protein, BSU_13830
 BSU_08460, yfhA, [wiki|ABC transporter] for the siderophore schizokinen and arthrobactin (permease), BSU_08460
 BSU_16020, rimM, 16S rRNA processing protein, BSU_16020
 new_3028207_3028296, S1124, new RNA feature, new_3028207_3028296
 BSU_38490, menA, probable 1, BSU_38490
 BSU_36140, ywqO, unknown, unknown
 BSU_17678, ynzJ, unknown, BSU_17678
 BSU_32130, guaC, GMP reductase, purine salvage and interconversion
 BSU_29360, tcyL, cystine [wiki|ABC transporter] (permease), cystine uptake
 new_3905066_3905130_c, S1465, new RNA feature, new_3905066_3905130_c
 BSU_05870, gmuF, mannose-6-P-isomerase, glucomannan utilization
 BSU_27010, adhA, thiol-dependent aldehyde dehydrogenase, BSU_27010
 new_1414827_1414907_c, S482, new RNA feature, new_1414827_1414907_c
 BSU_04360, mntH, manganese transporter (proton symport), manganese uptake
 BSU_02460, ycbC, 5-dehydro-4-deoxyglucarate dehydratase, utilization of D-glucarate/galactarate
 BSU_02530, rtpA, anti-TRAP, regulation of tryptophan biosynthesis
 new_1228135_1228924, S410, new RNA feature,
 new_1228135_1228924, , ,
 BSU_36000, alsD, acetolactate decarboxylase, overflow metabolism
 BSU_38780, yxkI, similar to heat shock protein, unknown
 new_45524_45632, S24, new RNA feature, new_45524_45632
 BSU_00450, sspF, small acid-soluble spore protein (minor), protection of spore DNA
 new_2043933_2044037, S702, new RNA feature,
 new_2043933_2044037, , ,
 new_746000_747189, S244, new RNA feature, new_746000_747189
 BSU_04536, fbpA, [[protein|F899F1EE27E6D503BCC06BC52E3C7FD80B8EF725]]-regulated basic protein, BSU_04536
 new_2464120_2464226_c, S898, new RNA feature,
 new_2464120_2464226_c, , ,
 BSU_23790, yqjP, similar to metallohydrolase, unknown
 BSU_32120, yuzG, unknown, unknown
 BSU_26160, yqbC, unknown, unknown
 new_1056384_1056537, rosA,  RNA sponge, new_1056384_1056537
 new_2635740_2635814, S961, new RNA feature, new_2635740_2635814
 BSU_39270, bglP, beta-glucoside permease of the [wiki|phosphotransferase systems|phosphotransferase system], [[category|SW.3.4.3]]
 BSU_26850, yrpG, similar to sugar-phosphate dehydrogenase, unknown
 BSU_12800, xhlB, putative holin, BSU_12800
 BSU_25200, sigA, [wiki|RNA polymerase] major [wiki|sigma factor] SigA, transcription
 new_2221639_2221791, S796, new RNA feature,
 new_2221639_2221791, , ,
 new_2333056_2333210_c, S839, new RNA feature, new_2333056_2333210_c
 BSU_25570, comEC, channel protein for DNA binding and uptake, genetic competence
 BSU_27230, forE2, essential subunit of formate:menadione oxidoreductase [[protein|A4304213CFC152B601B2EED2B9B3A0A3AB4E6A81]]-[[protein|364BC3B51D8DF152C2DF31046D4F80595C75884B]], unknown
 new_2925027_2925099_c, S1080, new RNA feature,
 new_2925027_2925099_c, , ,
 new_2483514_2483788_c, S905, new RNA feature, new_2483514_2483788_c
 BSU_38200, galK, galactokinase, galactose utilization
 new_946423_946695, S304, new RNA feature, new_946423_946695
 BSU_07390, yfmP, transcription repressor ([wiki|MerR family])  of the [[gene|36AF02B4EB416ABCA3F0E4C5A4126E777A20C7D1]]-[[gene|D91356CF66ADE0CFA9E95A686DC7355B348C8B5C]] operon, regulation of the [[gene|36AF02B4EB416ABCA3F0E4C5A4126E777A20C7D1]]-[[gene|D91356CF66ADE0CFA9E95A686DC7355B348C8B5C]] operon
 BSU_19150, yocB, general stress protein, BSU_19150
 new_1569001_1569224_c, S546, new RNA feature, new_1569001_1569224_c
 new_4086646_4086801, S1529, new RNA feature, new_4086646_4086801
 new_2609894_2610040_c, S957, new RNA feature,
 new_2609894_2610040_c, , ,
 new_2787066_2787129_c, S1033, new RNA feature,
 new_2787066_2787129_c, , ,
 BSU_05110, ydeA, glyoxalase III-like enzyme, detoxification of methylglyoxal
 BSU_28390, racE, glutamate racemase, peptidoglycan precursor biosynthesis
 new_1673515_1673619, S579, new RNA feature,
 new_1673515_1673619, , ,
 new_339879_339987, S112, new RNA feature, new_339879_339987
 BSU_02490, ycbF, glucarate dehydratase, glucarate utilization
 new_1863194_1863382, S619, new RNA feature,
 new_1863194_1863382, , ,
 BSU_25510, lepA, elongation factor 4, BSU_25510
 new_3060674_3060844, S1147, new RNA feature, new_3060674_3060844
 BSU_00510, prs, phosphoribosylpyrophosphate synthetase, BSU_00510
 BSU_18560, yoaD, similar to phosphoglycerate dehydrogenase, methionine biosynthesis
 BSU_rRNA_14, rrnI-23S, 23S rRNA, translation
 BSU_16630, infB, translation initiation factor IF-2, ensures correct binding of initiator tRNAs
 new_2897469_2897599_c, S1073, new RNA feature, new_2897469_2897599_c
 BSU_06240, bdhA, acetoine/ butanediol dehydrogenase, overflow metabolism
 BSU_35310, hpf, general stress protein, protects essential ribosomal proteins ([[protein|F1969E4C7BAAF70BCBE570F58350C12A3E417539|S2]] and [[protein|E7F4E01A6005C8469EAC64E8DFED96D0F29791A9|S3]])
 new_1879781_1880041, S625, new RNA feature,
 new_1879781_1880041, , ,
 new_3361112_3361196_c, S1259, new RNA feature, new_3361112_3361196_c
 BSU_27540, yrvM, 2-methylthio-N6-threonylcarbamoyladenosine cyclase, BSU_27540
 BSU_27990, minD, [wiki|cell division] inhibitor (septum placement), required for the disassembly of polar [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110|Z rings]] after [wiki|cell division]
 new_1219686_1219848, S406, new RNA feature, new_1219686_1219848
 BSU_02780, ycdA, lipoprotein, BSU_02780
 new_3231069_3231811_c, S1205, new RNA feature, new_3231069_3231811_c
 new_2410590_2410694_c, S875, new RNA feature,
 new_2410590_2410694_c, , ,
 BSU_12610, xkdG, PBSX prophage, unknown
 new_2288652_2289883, S818, new RNA feature, new_2288652_2289883
 BSU_16980, spoVS, required for dehydratation of the spore core and assembly of the coat, might act <i>via </i>[[protein|5A6FBAE6553343092862CB79E150F934978C32A9]]
 BSU_25420, yqeW, putative sodium-dependent phosphate transporter, phosphate uptake
 BSU_28780, araD, L-ribulose-phosphate 4-epimerase, arabinose utilization
 new_4065569_4065980_c, S1521, new RNA feature, new_4065569_4065980_c
 BSU_33880, yvbJ, unknown, unknown
 BSU_28680, glcD, probably glycolate oxidase subunit, BSU_28680
 BSU_37930, ywdK, unknown, unknown
 BSU_05260, ydeN, unknown, unknown
 BSU_09270, glpP, transcriptional antiterminator of the glpT-glpQ and glpF-glpK-glpD operons, regulation of glycerol and glycerol-3-phosphate utilization
 BSU_08300, lnrK, two-component response regulator, BSU_08300
 BSU_21690, msrA, peptide methionine sulfoxide reductase, regeneration of methionine and restoration of protein function after oxidative damage
 BSU_09670, dat, , peptidoglycan precursor biosynthesis
 BSU_19830, yotM, unknown, unknown
 new_3999273_3999349, S1499, new RNA feature,
 new_3999273_3999349, , ,
 BSU_11470, oppF, oligopeptide [wiki|ABC transporter] (ATP-binding protein), initiation of sporulation
 BSU_40880, exoA, apurinic/apyrimidinic endonuclease, important for spore dormance
 new_3457942_3458026, S1288, new RNA feature,
 new_3457942_3458026, , ,
 BSU_37890, spsC, aminotransferase, BSU_37890
 BSU_27610, apt, adenine phosphoribosyltransferase, BSU_27610
 new_519083_519559_c, S163, new RNA feature,
 new_519083_519559_c, , ,
 BSU_11580, yjbK, unknown, unknown
 BSU_11030, yitL, RNA-binding protein, unknown
 BSU_15170, spoVD, mother-cell specific class B penicillin-binding protein (spore cortex), synthesis of spore peptidoglycan
 BSU_31770, yueI, unknown, unknown
 BSU_15350, ylmB, N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase, BSU_15350
 BSU_23470, spoIIAA, anti-anti-[[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]], control of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]] activity
 BSU_39210, yxiF, unknown, unknown
 BSU_14690, yktD, putative S-adenosyl-L-methionine-dependent methyltransferase, unknown
 new_887222_887809, S283, new RNA feature,
 new_887222_887809, , ,
 BSU_19700, yodP, beta-lysine acetyltransferase, unknown
 BSU_19100, yobV, unknown, unknown
 BSU_06050, ydiN, , 
 BSU_38260, efeB, elemental iron uptake system, converts ferrous iron (Fe(II) to ferric iron (FeIII))  for uptake by [[protein|B31884DC49684A276D65E21A5F59AFDADEB9749C]]-[[protein|3BED98E311EF380AE77327C7F0A83254805089C0]]
 BSU_25230, yqxD, unknown, unknown
 BSU_14230, ahpT, thiol disulfide oxidoreductase, BSU_14230
 BSU_32859, yuzM, unknown, unknown
 new_2057588_2058714_c, S712, new RNA feature, new_2057588_2058714_c
 new_1413790_1414949, S481, new RNA feature,
 new_1413790_1414949, , ,
 BSU_35160, uvrA, excinuclease ABC (subunit A), BSU_35160
 new_3760558_3760693, S1407, new RNA feature, new_3760558_3760693
 new_2203597_2203983_c, S782, new RNA feature, new_2203597_2203983_c
 BSU_09770, yheD, ATP-binding spore coat protein, protection of the spore
 BSU_tRNA_19, trnJ-Pro, null, translation
 BSU_39440, yxxB, unknown, unknown
 new_4154404_4154500_c, S1552, new RNA feature, new_4154404_4154500_c
 BSU_05790, ydhK, general stress protein, BSU_05790
 new_4186449_4186607, S1572, new RNA feature,
 new_4186449_4186607, , ,
 new_88050_89566_c, S41, new RNA feature,
 new_88050_89566_c, , ,
 BSU_08779, ygzC, [wiki|sporulation] protein, unknown
 BSU_06820, yeeG, unknown, unknown
 BSU_18370, yoeA, probable multidrug resistance protein, unknown
 BSU_misc_RNA_34, BSU_misc_RNA_34, null, null
 BSU_03420, nin, inhibitor of the DNA degrading activity of [[protein|99581CC6AFFA2D1392748B4D9C99DEF8B7601F75]], genetic transformation
 BSU_20900, yopG, unknown, unknown
 BSU_03560, ycxD, similar to transcriptional regulator ([wiki|MocR/ GabR family]), unknown
 BSU_26250, yqaN, unknown, BSU_26250
 BSU_36770, spoIIT, co-activator (with [[protein|9F338225E1286D530EAAAB504DEC8D5AFA06AC8D]]) for triggering [[protein|221829E084DA78ACE1C2DFCEB6E59EDA534FF55D]]-dependent processing of [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]], control of [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]] processing and activation
 BSU_24650, yqzG, unknown, unknown
 BSU_02940, yceH, similar to toxic anion resistance protein, unknown
 new_3119240_3119484_c, S1162, new RNA feature, new_3119240_3119484_c
 BSU_30940, glgP, glycogen phosphorylase, glycogen biosynthesis
 BSU_34470, yveA, similar to aspartate/ glutamate transporter, unknown
 BSU_30000, ythQ, similar to [wiki|ABC transporter] (membrane protein), unknown
 new_3178641_3178932_c, S1181, new RNA feature, new_3178641_3178932_c
 BSU_37210, ywjC, general stress protein, unknown
 BSU_12320, yjmC, similar to ureidoglycolate dehydrogenase, BSU_12320
 new_2216815_2217132_c, S793, new RNA feature,
 new_2216815_2217132_c, , ,
 new_1482096_1482247, S511, new RNA feature,
 new_1482096_1482247, , ,
 new_984466_984593_c, S315, new RNA feature, new_984466_984593_c
 BSU_25120, yqfT, unknown, unknown
 new_1494737_1495461, S520, new RNA feature, new_1494737_1495461
 BSU_19400, yojM, superoxide dismutase, unknown
 BSU_40310, phrG, response regulator aspartate phosphatase (RapG) regulator, control of DegU activity
 BSU_25000, pbpA, class B penicillin-binding protein PBP 2A, works together with [[protein|B405B3C21B464F904BBB2AFD5DA21ADE45B4DD96]] in the [wiki|elongasome] for lateral [wiki|cell wall synthesis] and control of cell diameter
 BSU_04345, BSU_04345, , 
 BSU_19370, odhA, 2-oxoglutarate dehydrogenase (E1 subunit), TCA cycle
 BSU_20710, yopZ, unknown, unknown
 new_957688_958613, S308, new RNA feature, new_957688_958613
 new_3443530_3443612_c, S1283, new RNA feature,
 new_3443530_3443612_c, , ,
 BSU_tRNA_8, trnA-Ile, tRNA-Ile, translation
 BSU_17380, nrdE, ribonucleoside-diphosphate reductase (alpha subunit), BSU_17380
 new_3574158_3574245_c, S1324, new RNA feature, new_3574158_3574245_c
 BSU_06180, pspA, phage shock protein A homolog, BSU_06180
 BSU_32550, frlP, aminosugar [wiki|ABC transporter] (ATP-binding protein), uptake of sugar amines
 BSU_05740, phoB, alkaline phosphatase III, BSU_05740
 BSU_04090, pxpC, subunit of ATP-dependent 5-oxoprolinase, control of the [wiki|phosphorelay]
 new_4106138_4106244_c, S1536, new RNA feature,
 new_4106138_4106244_c, , ,
 BSU_20190, yosA, unknown, unknown
 BSU_12749, xkzA, unknown PBSX prophage protein, unknown
 BSU_05160, ydeD, unknown, unknown
 BSU_39940, yxaL, similar to Ser/Thr kinase, BSU_39940
 BSU_38280, efeU, elemental iron uptake system (permease), BSU_38280
 BSU_29070, ytaF, [wiki|sporulation] protein, unknown
 BSU_29420, ytkK, similar to 3-oxoacyl- acyl-carrier protein reductase, unknown
 BSU_29790, murC, UDP-N-acetylmuramoyl-L-alanine synthetase, peptidoglycan precursor biosynthesis
 BSU_25080, yqfX, unknown, unknown
 new_2647113_2647674_c, S965, new RNA feature, new_2647113_2647674_c
 BSU_08720, ygaF, similar to thioredoxin-dependent hydroperoxide peroxidase, resistance against oxidative stress
 new_2263262_2263488, S806, new RNA feature,
 new_2263262_2263488, , ,
 BSU_33670, yvaO, similar to transcription regulator ([wiki|Xre family]), unknown
 new_1492169_1492260, S519, new RNA feature, new_1492169_1492260
 BSU_30770, mntA, manganese [wiki|ABC transporter] (binding protein, BSU_30770
 BSU_03490, srfAB, surfactin synthetase / competence, antibiotic synthesis
 BSU_03880, yczG, similar to transcriptional regulator ([wiki|ArsR family]), unknown
 BSU_09730, yheG, unknown, unknown
 new_3842651_3843000_c, S1449, new RNA feature, new_3842651_3843000_c
 BSU_15600, cysC, adenylyl-sulfate kinase, sulfate reduction and activation
 BSU_19850, yotK, unknown, unknown
 BSU_09965, yhaJ, putative bacteriocin, unknown
 BSU_25130, nfo, type IV apurinic/apyrimidinic endonuclease, repair of oxidative DNA damage in spores
 BSU_22740, hepT, heptaprenyl diphosphate synthase component II, menaquinone biosynthesis
 BSU_15320, sigE, [wiki|RNA polymerase ][wiki|sporulation ]mother cell-specific (early) [wiki|sigma factor ]SigE, transcription of [wiki|sporulation ]genes (early mother cell)
 BSU_31900, yukD, Ubiquitin-like protein, putative bacteriocin
 BSU_23200, ypuI, rRNA pseudouridine 2633 synthase, translation
 new_1767136_1767309, S607, new RNA feature, new_1767136_1767309
 new_209557_209632, S74, new RNA feature,
 new_209557_209632, , ,
 BSU_40574, yyzJ, unknown, BSU_40574
 new_3340938_3341024_c, S1253, new RNA feature, new_3340938_3341024_c
 new_706872_706972, S232, new RNA feature,
 new_706872_706972, , ,
 BSU_tRNA_63, trnB-Ser1, null, translation
 BSU_29300, ribR, riboflavin kinase with preference for dihydroriboflavin, required for the conversion of S-methyl-cysteine to cysteine
 BSU_15720, defA, formylmethionine deformylase, translation
 BSU_29730, motP, Na<sup>+</sup>-coupled [[protein|3D42584D65D80A1C73F057714647E29FF6BBD58A]]-[[protein|6617D785D08C5919F0B774D2AF9EA6A84215486B]] flagellar stator, [wiki|motility and chemotaxis]
 BSU_34850, yvcA, required for complex colony development, complex colony development
 BSU_29090, polA, DNA polymerase I, processing of Okazaki fragments
 BSU_01730, sigW, [wiki|RNA polymerase] ECF-type [wiki|sigma factor] SigW, activated by alkaline shock and by polymyxin B
 BSU_11928, yjzF, unknown, unknown
 BSU_27170, fatR, transcriptional repressor of the [[gene|3DA3FFB295F5513A220CB163994EE0F356C810E6]]-[[gene|4BA5214C441C6671CB7DAA3CACBCA5FC025BE0E6]] operon, unknown
 BSU_16730, spoVFA, dipicolinate synthase (subunit A), dipicolic acid production
 BSU_32070, yuiC, stationary phase survival protein, BSU_32070
 BSU_24140, mmgD, 2-methylcitrate synthase, mother cell metabolism
 new_2190663_2191625, S773, new RNA feature, new_2190663_2191625
 BSU_09240, yhcW, putative glycerol-3-phosphatase, unknown
 BSU_30610, ytlC, similar to anion transport [wiki|ABC transporter] (ATP-binding protein), unknown
 BSU_13450, sigI, [wiki|RNA polymerase ][wiki|sigma factor ]SigI, control of a class of heat shock genes
 BSU_21058, BSU_21058, , 
 new_3913514_3913645_c, S1469, new RNA feature, new_3913514_3913645_c
 BSU_07460, yfmI, similar to macrolide-efflux transporter, unknown
 BSU_23280, ribD, 5-amino-6-(5-phosphoribosylamino)uracil reductase, riboflavin biosynthesis
 BSU_28950, thrS, threonyl-tRNA synthetase (major), translation
 BSU_11136, BSU_11136, Ravikumar et al, 
 BSU_33310, fhuB, hydroxamate siderophore [wiki|ABC transporter] (ferrichrome und ferrioxamine) (permease), siderophore uptake
 BSU_09910, yhaO, similar to DNA double-strand break repair protein, unknown
 BSU_02180, ybfE, unknown, unknown
 BSU_33990, yvbU, similar to transcriptional regulator ([wiki|LysR family]), unknown
 BSU_37660, pta, phosphotransacetylase, overflow metabolism
 new_506502_506670_c, S153, new RNA feature, new_506502_506670_c
 BSU_12230, yjjA, similar to uroporphyrinogen III synthase, unknown
 BSU_01550, gerD, scaffold of the germinosome, BSU_01550
 BSU_14200, ykuS, unknown, unknown
 BSU_05450, ydfK, unknown, unknown
 BSU_28090, valS, valyl-tRNA synthetase, translation
 BSU_20510, yoqU, unknown, unknown
 BSU_rRNA_18, rrnD-5S, 5S rRNA, translation
 , rrcM, regulatory RNA, 
 BSU_14530, rnjA, RNase J1, resolves stalled transcription complexes
 BSU_23670, yqkA, unknown, unknown
 BSU_21720, ypmT, unknown, unknown
 BSU_28960, ytxC, unknown, unknown
 BSU_31420, yugF, similar to dihydrolipoamide S-acetyltransferase, unknown
 new_1229850_1229914, S413, new RNA feature, new_1229850_1229914
 new_1264932_1265017_c, S432, new RNA feature, new_1264932_1265017_c
 BSU_11540, pepF, oligoendopeptidase, BSU_11540
 new_3153832_3153982_c, S1177, new RNA feature, new_3153832_3153982_c
 BSU_22210, mrfB, metal-dependent exonuclease, BSU_22210
 BSU_tRNA_58, trnB-Arg, null, translation
 BSU_08910, queG, epoxyqueuosine reductase, synthesis of queuosine
 BSU_16080, ylqH, similar to flagellar biosynthetic protein, unknown
 new_3224826_3225137_c, S1200, new RNA feature,
 new_3224826_3225137_c, , ,
 BSU_25520, yqxA, sporulation protein, unknown
 new_2930783_2931047, S1082, new RNA feature,
 new_2930783_2931047, , ,
