"category id","category","gene locus","gene name"
"SW.6.2","Membrane proteins","BSU_11400",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_14050",""
"SW.6.7","Proteins of unknown function","BSU_17690",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_13510",""
"SW.5.1.2","SP-beta prophage","BSU_21320",""
"SW.6.7","Proteins of unknown function","BSU_21320",""
"SW.6.2","Membrane proteins","BSU_09880",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_09880",""
"SW.3.3.1.4","Ribosomal proteins","BSU_15990",""
"SW.6.1","Essential genes","BSU_15990",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_13350",""
"SW.3.3.4.4","Protein phosphatases","BSU_12430",""
"SW.3.4.2.2.2","Response regulator aspartate phosphatase","BSU_12430",""
"SW.3.4.8","Quorum sensing","BSU_12430",""
"SW.3.4.2.5","Transcription factors/ other","BSU_12510",""
"SW.5.1.1","PBSX prophage","BSU_12510",""
"SW.5.1.2","SP-beta prophage","BSU_20800",""
"SW.4.2.1.3","Small acid-soluble spore proteins","BSU_08660",""
"SW.3.4.2.2.3","Control of response regulators/ other","BSU_40170",""
"SW.6.7","Proteins of unknown function","BSU_17070",""
"SW.2.6.6.1","Biosynthesis of antibacterial compounds","BSU_21470",""
"SW.4.3.15","Biosynthesis of antibacterial compounds","BSU_21470",""
"SW.5.1.2","SP-beta prophage","BSU_21470",""
"SW.6.2","Membrane proteins","BSU_21470",""
"SW.2.3.2.9","Utilization of branched-chain amino acids","BSU_24030",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_37880",""
"SW.3.1.8","Genetics/ other/ based on similarity","BSU_36280",""
"SW.5.1.2","SP-beta prophage","BSU_21070",""
"SW.6.7","Proteins of unknown function","BSU_37600",""
"SW.6.7","Proteins of unknown function","BSU_39280",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_40270",""
"SW.2.2.2.16","Utilization of inositol","BSU_39680",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_30620",""
"SW.6.2","Membrane proteins","BSU_30620",""
"SW.3.1.1","DNA replication","BSU_12580",""
"SW.5.1.1","PBSX prophage","BSU_12580",""
"SW.2.1.4","Electron transport/ other/ based on similarity","BSU_05300",""
"SW.2.1.2.4","Respiration/ other","BSU_17930",""
"SW.6.2","Membrane proteins","BSU_17930",""
"SW.6.7","Proteins of unknown function","BSU_28180",""
"SW.6.7","Proteins of unknown function","BSU_08470",""
"SW.1.1.3.1","Autolysis","BSU_12780",""
"SW.5.1.1","PBSX prophage","BSU_12780",""
"SW.5.1.2","SP-beta prophage","BSU_20320",""
"SW.5.1.2","SP-beta prophage","BSU_21610",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_21610",""
"SW.2.4.1.4","Utilization of lipids/ other","BSU_02260",""
"SW.6.7","Proteins of unknown function","BSU_09760",""
"SW.6.7","Proteins of unknown function","BSU_02050",""
"SW.6.7","Proteins of unknown function","BSU_34729",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_04340",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_04340",""
"SW.6.2","Membrane proteins","BSU_08210",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_18190",""
"SW.6.2","Membrane proteins","BSU_18190",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_18190",""
"SW.2.2.2.25","Utilization of glucomannan","BSU_05880",""
"SW.3.4.2.5","Transcription factors/ other","BSU_03620",""
"SW.4.3.10","Resistance against other toxic compounds (nitric oxide, phenolic acids, flavonoids, oxalate)","BSU_03620",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_04290",""
"SW.6.2","Membrane proteins","BSU_04290",""
"SW.6.7","Proteins of unknown function","BSU_38870",""
"SW.2.1.2.1","Terminal oxidases","BSU_14920",""
"SW.6.2","Membrane proteins","BSU_14920",""
"SW.4.2.1.3","Small acid-soluble spore proteins","BSU_09750",""
"SW.2.3.1.6","Biosynthesis/ acquisition of lysine/ threonine","BSU_32240",""
"SW.1.1.3.1","Autolysis","BSU_35780",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_04220",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_04220",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_23940",""
"SW.6.2","Membrane proteins","BSU_38330",""
"SW.6.7","Proteins of unknown function","BSU_38330",""
"SW.6.7","Proteins of unknown function","BSU_03580",""
"SW.2.2.2.12","Utilization of rhamnose","BSU_31190",""
"SW.6.7","Proteins of unknown function","BSU_39530",""
"SW.3.3.1.11","Translation factors","BSU_01120",""
"SW.6.1","Essential genes","BSU_01120",""
"SW.3.1.5","DNA repair/ recombination","BSU_01800",""
"SW.5.1.4","Prophage 1","BSU_01800",""
"SW.5.1.3","Skin element","BSU_26060",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_29960",""
"SW.3.4.2.5","Transcription factors/ other","BSU_33790",""
"SW.4.3.17","Toxins, antitoxins and immunity against toxins","BSU_33790",""
"SW.6.7","Proteins of unknown function","BSU_02790",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_08490",""
"SW.3.4.2.7","Control of transcription factor (other than two-component system)","BSU_13900",""
"SW.2.6.6.1","Biosynthesis of antibacterial compounds","BSU_10530",""
"SW.4.3.15","Biosynthesis of antibacterial compounds","BSU_10530",""
"SW.2.5.2.1","Biosynthesis/ acquisition of purine nucleotides","BSU_06440",""
"SW.2.3.1.12","Biosynthesis/ acquisition of branched-chain amino acids","BSU_02390",""
"SW.2.6.2.11","Biosynthesis of NAD(P)","BSU_11610",""
"SW.6.1","Essential genes","BSU_11610",""
"SW.6.2","Membrane proteins","BSU_36810",""
"SW.2.6.2.2","Biosynthesis/ acquisition of riboflavin/ FAD","BSU_23250",""
"SW.4.3.17","Toxins, antitoxins and immunity against toxins","BSU_26050",""
"SW.5.1.3","Skin element","BSU_26050",""
"SW.6.2","Membrane proteins","BSU_26050",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_34430",""
"SW.6.7","Proteins of unknown function","BSU_15830",""
"SW.3.1.1","DNA replication","BSU_28990",""
"SW.6.1","Essential genes","BSU_28990",""
"SW.6.7","Proteins of unknown function","BSU_06640",""
"SW.2.5.3","Metabolism of signalling nucleotides","BSU_00880",""
"SW.4.2.3","Sporulation/ other","BSU_00880",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_00880",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_00880",""
"SW.4.3.4","Heat shock proteins","BSU_00880",""
"SW.5.1.2","SP-beta prophage","BSU_21650",""
"SW.2.2.2.6","Utilization of arabinan/ arabinose/ arabitol","BSU_28720",""
"SW.6.7","Proteins of unknown function","BSU_15400",""
"SW.1.1.1.3","Biosynthesis of lipoteichoic acid","BSU_24840",""
"SW.2.6.1.2","Biosynthesis of lipoteichoic acid","BSU_24840",""
"SW.6.7","Proteins of unknown function","BSU_37140",""
"SW.6.2","Membrane proteins","BSU_07380",""
"SW.6.7","Proteins of unknown function","BSU_07380",""
"SW.3.3.1.10","Aminoacyl-tRNA synthetases","BSU_27550",""
"SW.6.1","Essential genes","BSU_27550",""
"SW.6.2","Membrane proteins","BSU_39100",""
"SW.6.7","Proteins of unknown function","BSU_39100",""
"SW.2.6.2.4","Biosynthesis of coenzyme A","BSU_15700",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_08580",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_08580",""
"SW.4.3.13","Resistance against toxins/ antibiotics","BSU_08580",""
"SW.6.2","Membrane proteins","BSU_08580",""
"SW.3.1.5","DNA repair/ recombination","BSU_28040",""
"SW.3.1.7","Genetic competence","BSU_28040",""
"SW.4.1.3","Genetic competence","BSU_28040",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_28040",""
"SW.6.2","Membrane proteins","BSU_07670",""
"SW.6.7","Proteins of unknown function","BSU_07670",""
"SW.3.3.1.4","Ribosomal proteins","BSU_01260",""
"SW.6.1","Essential genes","BSU_01260",""
"SW.6.5","Universally conserved proteins","BSU_01260",""
"SW.6.7","Proteins of unknown function","BSU_11280",""
"SW.6.7","Proteins of unknown function","BSU_38850",""
"SW.3.4.2.6","Transcription factor/ other/ based on similarity","BSU_32920",""
"SW.3.4.2.1","Two-component system response regulators","BSU_24220",""
"SW.4.1.2","Biofilm formation","BSU_24220",""
"SW.3.4.2.5","Transcription factors/ other","BSU_11500",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_11500",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_11500",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_11500",""
"SW.5.1.2","SP-beta prophage","BSU_20760",""
"SW.6.7","Proteins of unknown function","BSU_21830",""
"SW.6.7","Proteins of unknown function","BSU_06010",""
"SW.4.1.1.2","Flagellar proteins","BSU_16300",""
"SW.6.2","Membrane proteins","BSU_16300",""
"SW.3.3.1.7","tRNA","BSU_tRNA_54",""
"SW.2.6.6.1","Biosynthesis of antibacterial compounds","BSU_37710",""
"SW.4.3.15","Biosynthesis of antibacterial compounds","BSU_37710",""
"SW.3.3.4.4","Protein phosphatases","BSU_07880",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_07880",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_07880",""
"SW.3.3.1.11","Translation factors","BSU_14770",""
"SW.4.3.5","Cold stress proteins","BSU_14770",""
"SW.2.3.2.7","Utilization of alanine/ serine","BSU_31930",""
"SW.6.2","Membrane proteins","BSU_30160",""
"SW.3.4.2.5","Transcription factors/ other","BSU_38450",""
"SW.6.7","Proteins of unknown function","BSU_38080",""
"SW.3.3.1.7","tRNA","BSU_tRNA_74",""
"SW.6.7","Proteins of unknown function","BSU_10260",""
"SW.2.4.2.2","Biosynthesis of phospholipids","BSU_16920",""
"SW.6.1","Essential genes","BSU_16920",""
"SW.6.2","Membrane proteins","BSU_16920",""
"SW.6.7","Proteins of unknown function","BSU_12030",""
"SW.2.2.2.26","Utilization of pectin","BSU_06980",""
"SW.6.2","Membrane proteins","BSU_06980",""
"SW.2.3.3.1","Utilization of nitrate/ nitrite","BSU_03330",""
"SW.6.2","Membrane proteins","BSU_03330",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_02380",""
"SW.4.3.18","Toxins, antitoxins and immunity against toxins/ based on similarity","BSU_02380",""
"SW.6.2","Membrane proteins","BSU_02380",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_09660",""
"SW.6.7","Proteins of unknown function","BSU_14650",""
"SW.5.2.1","ICEBs1","BSU_04980",""
"SW.6.2","Membrane proteins","BSU_04980",""
"SW.6.7","Proteins of unknown function","BSU_04980",""
"SW.6.7","Proteins of unknown function","BSU_06770",""
"SW.3.4.2.5","Transcription factors/ other","BSU_25490",""
"SW.4.3.4","Heat shock proteins","BSU_25490",""
"SW.4.3.17","Toxins, antitoxins and immunity against toxins","BSU_04660",""
"SW.4.1.1.2","Flagellar proteins","BSU_16320",""
"SW.6.2","Membrane proteins","BSU_16320",""
"SW.2.5.1","Utilization of nucleotides","BSU_32450",""
"SW.2.2.2.11","Utilization of glucitol","BSU_06150",""
"SW.2.1.4","Electron transport/ other/ based on similarity","BSU_26470",""
"SW.3.3.4.1","Protein maturation","BSU_34990",""
"SW.6.2","Membrane proteins","BSU_34990",""
"SW.2.2.2.20","Utilization of trehalose","BSU_07810",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_14960",""
"SW.2.6.2.7","Biosynthesis and scavenging of lipoic acid","BSU_32330",""
"SW.2.2.2.2","Utilization of acetoin","BSU_08090",""
"SW.3.4.2.1","Two-component system response regulators","BSU_16330",""
"SW.3.3.1.12","Translation/ other","BSU_01380",""
"SW.3.3.4.1","Protein maturation","BSU_01380",""
"SW.2.2.1.4","TCA cycle","BSU_14600",""
"SW.6.2","Membrane proteins","BSU_14600",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_24120",""
"SW.6.7","Proteins of unknown function","BSU_12270",""
"SW.3.3.1.8","tRNA modification and maturation","BSU_27500",""
"SW.6.1","Essential genes","BSU_27500",""
"SW.2.6.6.1","Biosynthesis of antibacterial compounds","BSU_10550",""
"SW.4.3.15","Biosynthesis of antibacterial compounds","BSU_10550",""
"SW.6.2","Membrane proteins","BSU_09600",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_36190",""
"SW.5.2.1","ICEBs1","BSU_04990",""
"SW.1.1.1.4","Biosynthesis of teichoic acid","BSU_38540",""
"SW.2.6.1.3","Biosynthesis of teichoic acid","BSU_38540",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_38540",""
"SW.6.7","Proteins of unknown function","BSU_13070",""
"SW.5.1.1","PBSX prophage","BSU_12619",""
"SW.3.1.3","DNA condensation/ segregation","BSU_23510",""
"SW.2.3.3.4","Utilization of peptides","BSU_11430",""
"SW.3.1.7","Genetic competence","BSU_11430",""
"SW.4.1.3","Genetic competence","BSU_11430",""
"SW.6.2","Membrane proteins","BSU_11430",""
"SW.6.7","Proteins of unknown function","BSU_23650",""
"SW.3.3.1.8","tRNA modification and maturation","BSU_05940",""
"SW.6.1","Essential genes","BSU_05940",""
"SW.6.5","Universally conserved proteins","BSU_05940",""
"SW.3.3.1.11","Translation factors","BSU_24450",""
"SW.3.1.6","DNA repair/ recombination/ based on similarity","BSU_38620",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_38620",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_38620",""
"SW.2.5.2.3","Purine salvage and interconversion","BSU_19630",""
"SW.2.3.3.5","Utilization of proteins","BSU_14700",""
"SW.4.2.1.2","Spore coat protein/ based on similarity","BSU_26960",""
"SW.5.1.2","SP-beta prophage","BSU_20810",""
"SW.3.3.2","Chaperones/ protein folding","BSU_25470",""
"SW.4.3.4","Heat shock proteins","BSU_25470",""
"SW.3.4.2.6","Transcription factor/ other/ based on similarity","BSU_40010",""
"SW.6.2","Membrane proteins","BSU_06350",""
"SW.6.7","Proteins of unknown function","BSU_06350",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_28330",""
"SW.5.1.2","SP-beta prophage","BSU_20100",""
"SW.2.4.1.3","Utilization of fatty acids","BSU_28540",""
"SW.6.7","Proteins of unknown function","BSU_04070",""
"SW.2.2.2.8","Utilization of galactose","BSU_38860",""
"SW.4.1.2","Biofilm formation","BSU_38860",""
"SW.2.3.1.9","Biosynthesis/ acquisition of cysteine","BSU_27250",""
"SW.2.1.4","Electron transport/ other/ based on similarity","BSU_29840",""
"SW.5.1.2","SP-beta prophage","BSU_20570",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_04190",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_04190",""
"SW.2.5.1","Utilization of nucleotides","BSU_32440",""
"SW.6.2","Membrane proteins","BSU_32440",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_15380",""
"SW.3.1.5.1","Excision of prophages","BSU_25770",""
"SW.3.4.1.2","Control of sigma factors","BSU_25770",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_25770",""
"SW.5.1.3","Skin element","BSU_25770",""
"SW.4.3.5","Cold stress proteins","BSU_30440",""
"SW.6.2","Membrane proteins","BSU_30440",""
"SW.5.1.1","PBSX prophage","BSU_12650",""
"SW.6.7","Proteins of unknown function","BSU_00290",""
"SW.6.7","Proteins of unknown function","BSU_22869",""
"SW.5.1.5","Prophage 3","BSU_06074",""
"SW.6.10","Pseudogenes","BSU_06074",""
"SW.1.1.1.2","Autolytic activity required for peptidoglycan synthesis (cell elongation)","BSU_09420",""
"SW.1.1.3.1","Autolysis","BSU_09420",""
"SW.2.2.2.26","Utilization of pectin","BSU_07080",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_06280",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_06280",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_06280",""
"SW.6.7","Proteins of unknown function","BSU_18899",""
"SW.2.3.3.4","Utilization of peptides","BSU_11360",""
"SW.6.2","Membrane proteins","BSU_11360",""
"SW.3.3.1.7","tRNA","BSU_tRNA_2",""
"SW.6.7","Proteins of unknown function","BSU_18400",""
"SW.4.3.14","Resistance against toxins/ antibiotics/ based on similarity","BSU_05680",""
"SW.6.2","Membrane proteins","BSU_05680",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_36550",""
"SW.6.2","Membrane proteins","BSU_36550",""
"SW.6.2","Membrane proteins","BSU_08310",""
"SW.6.7","Proteins of unknown function","BSU_36780",""
"SW.2.3.1.10","Biosynthesis/ acquisition of methionine/ S-adenosylmethionine","BSU_13550",""
"SW.6.7","Proteins of unknown function","BSU_14820",""
"SW.6.2","Membrane proteins","BSU_11040",""
"SW.3.1.7","Genetic competence","BSU_11520",""
"SW.4.1.3","Genetic competence","BSU_11520",""
"SW.2.6.2.6","Biosynthesis of heme/ siroheme","BSU_28140",""
"SW.3.3.1.7","tRNA","BSU_tRNA_17",""
"SW.5.2.1","ICEBs1","BSU_04960",""
"SW.6.2","Membrane proteins","BSU_04960",""
"SW.6.2","Membrane proteins","BSU_35800",""
"SW.3.3.1.10","Aminoacyl-tRNA synthetases","BSU_25260",""
"SW.6.1","Essential genes","BSU_25260",""
"SW.2.3.1.10","Biosynthesis/ acquisition of methionine/ S-adenosylmethionine","BSU_13610",""
"SW.2.3.3.4","Utilization of peptides","BSU_24460",""
"SW.4.3.6","Coping with hyper-osmotic stress","BSU_24460",""
"SW.2.2.2.27","Utilization of other polymeric carbohydrates","BSU_34460",""
"SW.6.2","Membrane proteins","BSU_34460",""
"SW.6.7","Proteins of unknown function","BSU_40690",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_22520",""
"SW.6.2","Membrane proteins","BSU_22520",""
"SW.6.7","Proteins of unknown function","BSU_25289",""
"SW.4.3.14","Resistance against toxins/ antibiotics/ based on similarity","BSU_07320",""
"SW.6.2","Membrane proteins","BSU_07320",""
"SW.3.3.1.1","Ribosomal RNA","BSU_rRNA_12",""
"SW.2.2.1.1","Glycolysis","BSU_22480",""
"SW.6.7","Proteins of unknown function","BSU_00300",""
"SW.2.6.6.6","Metabolism of polyamines","BSU_26600",""
"SW.5.1.2","SP-beta prophage","BSU_21040",""
"SW.5.2.1","ICEBs1","BSU_04840",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_22900",""
"SW.3.4.1.2","Control of sigma factors","BSU_16480",""
"SW.6.7","Proteins of unknown function","BSU_13280",""
"SW.3.3.4.2","Protein kinases","BSU_02560",""
"SW.3.4.2.2.1","Two-component sensor kinase","BSU_02560",""
"SW.6.2","Membrane proteins","BSU_02560",""
"SW.4.3.14","Resistance against toxins/ antibiotics/ based on similarity","BSU_02520",""
"SW.6.2","Membrane proteins","BSU_13830",""
"SW.6.2","Membrane proteins","BSU_08460",""
"SW.3.3.1.2","rRNA modification and maturation","BSU_16020",""
"SW.2.6.2.8","Biosynthesis of menaquinone","BSU_38490",""
"SW.6.1","Essential genes","BSU_38490",""
"SW.6.2","Membrane proteins","BSU_38490",""
"SW.6.7","Proteins of unknown function","BSU_36140",""
"SW.6.7","Proteins of unknown function","BSU_17678",""
"SW.2.5.2.3","Purine salvage and interconversion","BSU_32130",""
"SW.2.3.1.9","Biosynthesis/ acquisition of cysteine","BSU_29360",""
"SW.6.2","Membrane proteins","BSU_29360",""
"SW.2.2.2.25","Utilization of glucomannan","BSU_05870",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_27010",""
"SW.6.2","Membrane proteins","BSU_04360",""
"SW.2.2.2.14","Utilization of glucarate/galactarate","BSU_02460",""
"SW.2.3.1.13","Biosynthesis/ acquisition of aromatic amino acids","BSU_02530",""
"SW.3.4.2.7","Control of transcription factor (other than two-component system)","BSU_02530",""
"SW.2.2.1.5","Overflow metabolism","BSU_36000",""
"SW.6.7","Proteins of unknown function","BSU_38780",""
"SW.4.2.1.3","Small acid-soluble spore proteins","BSU_00450",""
"SW.6.7","Proteins of unknown function","BSU_23790",""
"SW.6.2","Membrane proteins","BSU_32120",""
"SW.6.7","Proteins of unknown function","BSU_32120",""
"SW.5.1.3","Skin element","BSU_26160",""
"SW.2.2.2.18","Utilization of beta-glucosides","BSU_39270",""
"SW.3.4.2.4","Control of PRD-type regulators","BSU_39270",""
"SW.6.2","Membrane proteins","BSU_39270",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_26850",""
"SW.5.1.1","PBSX prophage","BSU_12800",""
"SW.6.2","Membrane proteins","BSU_12800",""
"SW.3.2.1.2","Sigma factors","BSU_25200",""
"SW.3.4.1.1","Sigma factors","BSU_25200",""
"SW.6.1","Essential genes","BSU_25200",""
"SW.3.1.7","Genetic competence","BSU_25570",""
"SW.4.1.3","Genetic competence","BSU_25570",""
"SW.6.2","Membrane proteins","BSU_25570",""
"SW.6.7","Proteins of unknown function","BSU_27230",""
"SW.2.2.2.8","Utilization of galactose","BSU_38200",""
"SW.3.4.2.5","Transcription factors/ other","BSU_07390",""
"SW.4.3.14","Resistance against toxins/ antibiotics/ based on similarity","BSU_07390",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_19150",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_05110",""
"SW.1.1.1.1","Biosynthesis of peptidoglycan","BSU_28390",""
"SW.2.6.1.1","Biosynthesis of peptidoglycan","BSU_28390",""
"SW.6.1","Essential genes","BSU_28390",""
"SW.2.2.2.14","Utilization of glucarate/galactarate","BSU_02490",""
"SW.6.3","GTP-binding proteins","BSU_25510",""
"SW.2.3.1.14","Biosynthesis/ acquisition of histidine","BSU_00510",""
"SW.2.5.2.1","Biosynthesis/ acquisition of purine nucleotides","BSU_00510",""
"SW.2.5.2.4","Biosynthesis/ acquisition of pyrimidine nucleotides","BSU_00510",""
"SW.6.1","Essential genes","BSU_00510",""
"SW.6.5","Universally conserved proteins","BSU_00510",""
"SW.2.3.1.11","Biosynthesis/ acquisition of methionine/ S-adenosylmethionine/ based on similarity","BSU_18560",""
"SW.3.3.1.1","Ribosomal RNA","BSU_rRNA_14",""
"SW.3.3.1.11","Translation factors","BSU_16630",""
"SW.6.1","Essential genes","BSU_16630",""
"SW.2.2.1.5","Overflow metabolism","BSU_06240",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_35310",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_35310",""
"SW.3.3.1.8","tRNA modification and maturation","BSU_27540",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_27990",""
"SW.6.2","Membrane proteins","BSU_27990",""
"SW.4.1.1.4","Motility and chemotaxis/ other","BSU_02780",""
"SW.6.2","Membrane proteins","BSU_02780",""
"SW.5.1.1","PBSX prophage","BSU_12610",""
"SW.4.2.3","Sporulation/ other","BSU_16980",""
"SW.2.6.3","Phosphate metabolism","BSU_25420",""
"SW.2.2.2.6","Utilization of arabinan/ arabinose/ arabitol","BSU_28780",""
"SW.6.2","Membrane proteins","BSU_33880",""
"SW.6.7","Proteins of unknown function","BSU_33880",""
"SW.6.2","Membrane proteins","BSU_37930",""
"SW.6.7","Proteins of unknown function","BSU_05260",""
"SW.2.2.2.3","Utilization of glycerol/ glycerol-3-phosphate","BSU_09270",""
"SW.2.4.1.1","Utilization of phospholipids","BSU_09270",""
"SW.3.4.2.5","Transcription factors/ other","BSU_09270",""
"SW.3.4.4","RNA binding regulators","BSU_09270",""
"SW.3.4.2.1","Two-component system response regulators","BSU_08300",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_21690",""
"SW.1.1.1.1","Biosynthesis of peptidoglycan","BSU_09670",""
"SW.2.6.1.1","Biosynthesis of peptidoglycan","BSU_09670",""
"SW.5.1.2","SP-beta prophage","BSU_19830",""
"SW.2.3.3.4","Utilization of peptides","BSU_11470",""
"SW.3.1.7","Genetic competence","BSU_11470",""
"SW.4.1.3","Genetic competence","BSU_11470",""
"SW.6.2","Membrane proteins","BSU_11470",""
"SW.3.1.5","DNA repair/ recombination","BSU_40880",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_40880",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_37890",""
"SW.2.5.2.3","Purine salvage and interconversion","BSU_27610",""
"SW.6.5","Universally conserved proteins","BSU_27610",""
"SW.6.7","Proteins of unknown function","BSU_11580",""
"SW.6.7","Proteins of unknown function","BSU_11030",""
"SW.1.1.1.7","Penicillin-binding proteins","BSU_15170",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_15170",""
"SW.6.2","Membrane proteins","BSU_15170",""
"SW.6.7","Proteins of unknown function","BSU_31770",""
"SW.2.6.2.3","Biosynthesis/ acquisition of thiamine","BSU_15350",""
"SW.3.4.1.2","Control of sigma factors","BSU_23470",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_23470",""
"SW.6.7","Proteins of unknown function","BSU_39210",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_19700",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_19700",""
"SW.6.7","Proteins of unknown function","BSU_19100",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_38260",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_38260",""
"SW.6.2","Membrane proteins","BSU_38260",""
"SW.6.7","Proteins of unknown function","BSU_25230",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_14230",""
"SW.3.1.5","DNA repair/ recombination","BSU_35160",""
"SW.6.2","Membrane proteins","BSU_09770",""
"SW.3.3.1.7","tRNA","BSU_tRNA_19",""
"SW.6.2","Membrane proteins","BSU_39440",""
"SW.6.7","Proteins of unknown function","BSU_39440",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_05790",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_05790",""
"SW.6.2","Membrane proteins","BSU_06820",""
"SW.6.7","Proteins of unknown function","BSU_06820",""
"SW.6.2","Membrane proteins","BSU_18370",""
"SW.3.1.7","Genetic competence","BSU_03420",""
"SW.4.1.3","Genetic competence","BSU_03420",""
"SW.6.2","Membrane proteins","BSU_03420",""
"SW.5.1.2","SP-beta prophage","BSU_20900",""
"SW.3.4.2.6","Transcription factor/ other/ based on similarity","BSU_03560",""
"SW.5.1.3","Skin element","BSU_26250",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_24650",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_02940",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_02940",""
"SW.2.6.6.5","Biosynthesis of glycogen","BSU_30940",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_30940",""
"SW.2.3.1.5","Biosynthesis/ acquisition of aspartate/ asparagine","BSU_34470",""
"SW.2.3.2.6","Utilization of  asparagine/ aspartate","BSU_34470",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_34470",""
"SW.6.2","Membrane proteins","BSU_34470",""
"SW.4.3.2","Cell envelope stress proteins (controlled by SigM, V, W, X, Y)","BSU_30000",""
"SW.6.2","Membrane proteins","BSU_30000",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_37210",""
"SW.2.2.2.15","Utilization of hexuronate","BSU_12320",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_12320",""
